unicode,seal_radical,trad_radical,simp_radical
20847,,,12.0
20848,艸,艸,12.0
20849,共,八,12.0
20850,,八,12.0
20851,門,門,12.0
20852,舁,臼,12.0
20853,廾,八,12.0
20854,箕,八,12.0
20855,廾,八,12.0
20856,丌,八,12.0
20857,艸,玄,12.0
20858,,,12.0
20859,食,食,12.0
20860,秝,八,12.0
20861,嘼,犬,12.0
20862,,八,12.0
20863,,艸,12.0
20864,北,八,12.0
20865,,口,12.0
20866,冂,冂,13.0
20867,冃,冂,13.0
20868,冉,冂,13.0
20869,入,入,13.0
20870,,囗,13.0
20871,,,13.0
20872,山,山,13.0
20873,冉,冂,13.0
20874,冊,冂,13.0
20875,冂,冂,13.0
20876,冊,,13.0
20877,冓,冂,13.0
20878,冎,冂,13.0
20879,㕯,冂,13.0
20880,,冂,13.0
20881,冃,冂,13.0
20882,冃,冂,13.0
20883,冓,冂,13.0
20884,,冂,13.0
20885,冃,冂,13.0
20886,冖,冖,14.0
20887,宀,冖,14.0
20888,冂,冖,14.0
20889,宀,宀,14.0
20890,,,14.0
20891,車,車,14.0
20892,䢅,辰,14.0
20893,宀,宀,14.0
20894,,冖,14.0
20895,皀,冖,14.0
20896,冖,冖,14.0
20897,𠔼,冖,14.0
20898,勹,冖,14.0
20899,冖,冖,14.0
20900,兔,冖,14.0
20901,冥,冖,14.0
20902,攴,宀,14.0
20903,,,14.0
20904,宀,冖,14.0
20905,宀,宀,14.0
20906,冖,冖,14.0
20907,仌,冫,15.0
20908,仌,冫,15.0
20909,,冫,15.0
20910,,,15.0
20911,馬,馬,15.0
20912,仌,冫,15.0
20913,,冫,15.0
20914,水,冫,15.0
20915,水,冫,15.0
20916,,,15.0
20917,水,冫,15.0
20918,仌,冫,15.0
20919,仌,冫,15.0
20920,,冫,15.0
20921,仌,冫,15.0
20922,,手,15.0
20923,仌,冫,15.0
20924,,冫,15.0
20925,仌,冫,15.0
20926,,冫,15.0
20927,,冫,15.0
20928,水,冫,15.0
20929,,冫,15.0
20930,,水,15.0
20931,,水,15.0
20932,水,冫,15.0
20933,,冫,15.0
20934,水,冫,15.0
20935,,冫,15.0
20936,,冫,15.0
20937,水,冫,15.0
20938,仌,冫,15.0
20939,仌,冫,15.0
20940,仌,冫,15.0
20941,仌,冫,15.0
20942,,,15.0
20943,水,冫,15.0
20944,,冫,15.0
20945,水,水,15.0
20946,,冫,15.0
20947,仌,冫,15.0
20948,仌,冫,15.0
20949,,冫,15.0
20950,水,水,15.0
20951,,冫,15.0
20952,仌,冫,15.0
20953,,冫,15.0
20954,,冫,15.0
20955,仌,冫,15.0
20956,仌,疒,15.0
20957,仌,冫,15.0
20958,,冫,15.0
20959,,水,15.0
20960,几,几,16.0
20961,二,几,16.0
20962,,几,16.0
20963,,几,16.0
20964,鳥,鳥,16.0
20965,几,几,16.0
20966,几,几,16.0
20967,,,16.0
20968,,風,16.0
20969,,,16.0
20970,,,16.0
20971,𠘧,鳥,16.0
20972,風,風,16.0
20973,几,几,16.0
20974,,風,16.0
20975,,几,16.0
20976,,几,16.0
20977,,几,16.0
20978,,几,16.0
20979,,几,16.0
20980,几,几,16.0
20981,凵,凵,17.0
20982,凶,凵,17.0
20983,土,凵,17.0
20984,,凵,17.0
20985,,凵,17.0
20986,出,凵,17.0
20987,手,手,17.0
20988,,,17.0
20989,𢎘,凵,17.0
20990,,凵,17.0
20991,金,金,17.0
20992,刀,刀,18.0
20993,,刀,18.0
20994,,刀,18.0
20995,刃,刀,18.0
20996,刃,刀,18.0
20997,刃,刀,18.0
20998,八,刀,18.0
20999,刀,刀,18.0
21000,丿,刀,18.0
21001,刀,刀,18.0
21002,刀,刀,18.0
21003,刀,刀,18.0
21004,刀,刀,18.0
21005,艸,艸,18.0
21006,刀,刀,18.0
21007,刀,刀,18.0
21008,,刀,18.0
21009,刀,刀,18.0
21010,刀,刀,18.0
21011,刀,刀,18.0
21012,,刀,18.0
21013,,刀,18.0
21014,刀,刀,18.0
21015,刀,刀,18.0
21016,金,刀,18.0
21017,刀,刀,18.0
21018,刀,刀,18.0
21019,刃,刀,18.0
21020,刀,刀,18.0
21021,刀,刀,18.0
21022,,刀,18.0
21023,,刀,18.0
21024,刀,刀,18.0
21025,,刀,18.0
21026,,刀,18.0
21027,,刀,18.0
21028,刀,刀,18.0
21029,冎,刀,18.0
21030,力,刀,18.0
21031,,刀,18.0
21032,,刀,18.0
21033,刀,刀,18.0
21034,刀,刀,18.0
21035,冎,刀,18.0
21036,,刀,18.0
21037,刀,刀,18.0
21038,刀,刀,18.0
21039,,刀,18.0
21040,至,刀,18.0
21041,井,刀,18.0
21042,刀,刀,18.0
21043,刀,刀,18.0
21044,,刀,18.0
21045,刀,刀,18.0
21046,刀,刀,18.0
21047,刀,刀,18.0
21048,刀,刀,18.0
21049,刀,刀,18.0
21050,刀,刀,18.0
21051,刀,刀,18.0
21052,,力,18.0
21053,刀,刀,18.0
21054,,刀,18.0
21055,刀,刀,18.0
21056,刀,刀,18.0
21057,,刀,18.0
21058,刀,刀,18.0
21059,髟,刀,18.0
21060,刀,刀,18.0
21061,,刀,18.0
21062,,刀,18.0
21063,刀,刀,18.0
21064,刀,刀,18.0
21065,刀,刀,18.0
21066,刀,刀,18.0
21067,力,刀,18.0
21068,束,刀,18.0
21069,止,刀,18.0
21070,刀,刀,18.0
21071,,刀,18.0
21072,,刀,18.0
21073,刃,刀,18.0
21074,,刀,18.0
21075,,刀,18.0
21076,刀,刀,18.0
21077,,刀,18.0
21078,刀,刀,18.0
21079,,刀,18.0
21080,,刀,18.0
21081,井,刀,18.0
21082,,刀,18.0
21083,刀,刀,18.0
21084,刀,刀,18.0
21085,刀,刀,18.0
21086,刀,刀,18.0
21087,刀,刀,18.0
21088,,刀,18.0
21089,刀,刀,18.0
21090,,刀,18.0
21091,,刀,18.0
21092,,刀,18.0
21093,刀,刀,18.0
21094,,,18.0
21095,刀,刀,18.0
21096,,刀,18.0
21097,貝,刀,18.0
21098,刀,刀,18.0
21099,刀,刀,18.0
21100,刀,刀,18.0
21101,,刀,18.0
21102,冎,刀,18.0
21103,刀,刀,18.0
21104,,刀,18.0
21105,,刀,18.0
21106,刀,刀,18.0
21107,,刀,18.0
21108,刀,刀,18.0
21109,刃,刀,18.0
21110,,刀,18.0
21111,,刀,18.0
21112,首,刀,18.0
21113,,刀,18.0
21114,刀,刀,18.0
21115,,刀,18.0
21116,,刀,18.0
21117,刀,刀,18.0
21118,,刀,18.0
21119,力,刀,18.0
21120,刀,刀,18.0
21121,,刀,18.0
21122,刀,刀,18.0
21123,刀,刀,18.0
21124,,竹,18.0
21125,,刀,18.0
21126,,刀,18.0
21127,刀,刀,18.0
21128,刀,刀,18.0
21129,金,刀,18.0
21130,刀,刀,18.0
21131,刀,刀,18.0
21132,刀,刀,18.0
21133,刃,刀,18.0
21134,刃,刀,18.0
21135,,,18.0
21136,,刀,18.0
21137,刀,刀,18.0
21138,刃,刀,18.0
21139,刀,刀,18.0
21140,刃,刀,18.0
21141,,刀,18.0
21142,刀,刀,18.0
21143,,刀,18.0
21144,,刀,18.0
21145,,刀,18.0
21146,,刀,18.0
21147,力,力,19.0
21148,,力,19.0
21149,力,力,19.0
21150,力,辛,19.0
21151,力,力,19.0
21152,力,力,19.0
21153,力,力,19.0
21154,力,力,19.0
21155,力,力,19.0
21156,,力,19.0
21157,,力,19.0
21158,劦,力,19.0
21159,,力,19.0
21160,力,力,19.0
21161,力,力,19.0
21162,,力,19.0
21163,力,力,19.0
21164,力,力,19.0
21165,力,力,19.0
21166,,力,19.0
21167,,力,19.0
21168,,力,19.0
21169,力,力,19.0
21170,力,力,19.0
21171,力,力,19.0
21172,,力,19.0
21173,力,力,19.0
21174,,力,19.0
21175,,力,19.0
21176,,力,19.0
21177,,力,19.0
21178,,力,19.0
21179,,力,19.0
21180,力,力,19.0
21181,,力,19.0
21182,力,力,19.0
21183,力,力,19.0
21184,力,力,19.0
21185,力,力,19.0
21186,,力,19.0
21187,力,力,19.0
21188,,力,19.0
21189,攴,力,19.0
21190,,力,19.0
21191,力,力,19.0
21192,力,力,19.0
21193,力,力,19.0
