codepoint,char,mid_initial,mid_final,mid_tone,old_initial,old_nucleus,old_coda,man_initial,man_final,man_tone,can_onset,can_nucleus,can_coda,can_tone
29730,琢,ʈɰɔk̲̲,,³,rt,o,̠ɡ,ts,uɔ,2,t,œ:,k,˧
29731,琣,pʰ,u̯oi,³⁵,,,,p,ɤŋ,3,,,,
29732,琤,dʐɰ,ɛŋ,³³,shr,e,̠ŋ,ʈʂʰ,ɤŋ,1,s,a:,ŋ,˥
29733,琥,h,u̯o,³⁵,qhl,a,̠ʔ,x,u,3,f,u:,,˧˥
29734,琦,ɡɰ,iᴇ,³³,ɡr,a,l,tɕʰ,i,2,kʰ,ei,,˩˨
29735,琧,,,,,,,,ɤ,4,,,,
29736,琨,k,u̯on,³³,k,u,̠n,kʰ,,1,kw,ɐ,n,˥
29737,琩,tɕʰj,aŋ,³³,,,,ʈʂʰ,ɑŋ,1,,,,
29738,琪,ɡ,ɨ,³³,ɡ,ɯ,,tɕʰ,i,2,kʰ,ei,,˩˨
29739,琫,p,uŋ,³⁵,p,o,̠ŋʔ,p,ɤŋ,3,p,ʊ,ŋ,˧˥
29740,琬,ʔʷj,ɤn,³⁵,q,o,nʔ,,wan,3,j,y:,n,˧˥
29741,琭,l,uk̲̲,³,b,ə,r,l,u,4,l,ʊ,k,˨
29742,琮,ts,u̯oŋ,³¹,z,u,̠ŋ,tsʰ,ʊŋ,2,tsʰ,ʊ,ŋ,˩˨
29743,琯,kʷɰæn,,³¹,k,o,̠nʔ,k,wan,3,k,u:,n,˧˥
29744,琰,j,iᴇm,³⁵,ɢl,a,mʔ,,jɛn,3,j,i:,m,˩˧
29745,琱,t,eu,³³,k‧l,ɯ,̠w,t,jɑʊ,1,t,i:u,,˥
29746,琲,b,u̯oi,³¹,b,u,̠lʔ,p,ei,4,pʰ,u:i,,˧
29747,琳,l,im,³³,ɡ,ə,r,l,in,2,l,ɐ,m,˩˨
29748,琴,ɡɰ,im,³³,ɡr,ɯ,m,tɕʰ,in,2,kʰ,ɐ,m,˩˨
29749,琵,b,i,³³,b,i,,pʰ,i,2,pʰ,ei,,˩˨
29750,琶,bɰæ,,³³,,,,pʰ,a,2,pʰ,a:,,˩˨
29751,琷,,,,,,,tɕʰ,yɛ,4,,,,
29752,琸,,,,,,,ʈʂ,uɔ,2,,,,
29753,琹,,,,,,,tɕʰ,in,2,,,,
29754,琺,,,,,,,f,a,4,f,a:,t,˧
29755,琻,,,,,,,tɕ,in,1,,,,
29756,琼,ɡʷ,iᴇŋ,³³,,,,tɕʰ,jʊŋ,2,kʰ,ɪ,ŋ,˩˨
29757,琽,t,u̯o,³⁵,,,,t,u,3,,,,
29758,琾,kɰ,ɛi,³¹,,,,tɕ,je,4,,,,
29759,琿,ɦ,u̯on,³³,,,,x,,2,w,ɐ,n,˩˨
29760,瑀,ɦʲj,ʊ,³⁵,ɢʷ,a,ʔ,,y,3,j,y:,,˩˧
29761,瑁,m,əi,³¹,m,u,̠ɡ,m,ɑʊ,4,m,ou,,˨
29762,瑂,mɰ,i,³³,mr,i,l,m,ei,2,,,,
29763,瑃,ʈʰʷ,in,³³,,,,ʈʂʰ,,1,,,,
29764,瑄,sʷ,iᴇn,³³,sqh,o,n,ɕ,yan,1,s,y:,n,˥
29765,瑅,d,ei,³³,,,,tʰ,i,2,,,,
29766,瑆,s,eŋ,³³,,,,ɕ,iŋ,1,s,ɪ,ŋ,˥
29767,瑇,d,u̯oi,³¹,d,u,̠ɡ,t,ai,4,t,ɔ:i,,˨
29768,瑈,ȵ,ɨu,³³,,,,ʐ,oʊ,2,,,,
29769,瑉,mɰ,in,³³,,,,m,in,2,,,,
29770,瑊,ɦɰ,ɛm,³³,kr,o,̠m,tɕ,jɛn,1,ts,ɐ,m,˥
29771,瑋,ɦʲʷ,ɨi,³⁵,ɢʷ,ɯ,lʔ,,,3,w,ɐi,,˩˨
29772,瑌,ȵʷ,iᴇn,³⁵,nj,o,nʔ,ʐ,wan,3,,,,
29773,瑍,,,,,,,x,wan,4,,,,
29774,瑎,ɦɰ,ɛi,³³,ɡr,i,̠l,ɕ,je,2,,,,
29775,瑏,tɕʰʷ,iᴇn,³³,,,,ʈʂʰ,wan,1,,,,
29776,瑐,ts,iᴇn,³⁵,,,,tɕ,jɛn,3,,,,
29777,瑑,ɖ,i,³³,ɡ‧l,o,nʔ,ʈʂ,wan,4,s,y:,n,˨
29778,瑒,d,ɑŋ,³⁵,l,a,ŋ,ʈʂʰ,ɑŋ,4,tsʰ,œ:,ŋ,˧
29779,瑓,l,en,³¹,,,,l,jɛn,4,,,,
29780,瑔,,,,,,,tɕʰ,yan,2,,,,
29781,瑕,tʷ,ɑn,³¹,ɡr,a,̠,ɕ,ja,2,h,a:,,˩˨
29782,瑖,tʷ,ɑn,³¹,,,,t,wan,4,,,,
29783,瑗,ɦʲʷj,ɤn,³¹,ɢr,o,ns,,yan,4,j,y:,n,˨
29784,瑘,jæ,,³³,,,,,ja,2,,,,
29785,瑙,n,ɑu,³⁵,n,u,̠ʔ,n,ɑʊ,3,n,ou,,˩˧
29786,瑚,ɦ,u̯o,³³,ɡ,a,̠,x,u,2,w,u:,,˩˨
29787,瑛,ʔɰjæŋ,,³³,qr,a,ŋ,,iŋ,1,j,ɪ,ŋ,˥
29788,瑜,j,ʊ,³³,l,o,,,y,2,j,y:,,˩˨
29789,瑝,ɦɰæŋ,,³³,ɡʷr,a,̠ŋ,x,wɑŋ,2,,,,
29790,瑞,dʑʷ,iᴇ,³¹,ɡlj,o,ls,ʐ,,4,s,ɵy,,˨
29791,瑟,ʂ,ɪt̲̲,³,spr,i,ɡ,s,ɤ,4,s,ɐ,t,˥
29792,瑠,l,ɨu,³³,b,ə,r,l,,2,l,ɐu,,˩˨
29793,瑡,ʂ,i,³³,,,,ʂ,i,1,,,,
29794,瑢,j,ʊŋ,³³,,,,ʐ,ʊŋ,2,j,ʊ,ŋ,˩˨
29795,瑣,sʷ,ɑ,³⁵,sl,o,̠lʔ,s,uɔ,3,s,ɔ:,,˧˥
29796,瑤,,,,,,,,jɑʊ,2,j,i:u,,˩˨
29797,瑥,ʔ,u̯on,³³,,,,,,1,,,,
29798,瑦,ʔ,u̯o,³⁵,q,a,̠,,u,3,,,,
29799,瑧,,,,,,,ʈʂ,ən,1,,,,
29800,瑨,,,,,,,tɕ,in,4,,,,
29801,瑩,ʔʷ,eŋ,³¹,qʷ,e,̠ŋs,,iŋ,2,j,ɪ,ŋ,˩˨
29802,瑪,mɰæ,,³⁵,mr,a,̠ʔ,m,a,3,m,a:,,˩˧
29803,瑫,tʰ,ɑu,³³,,,,tʰ,ɑʊ,1,,,,
29804,瑬,l,ɨu,³³,r,u,,l,,2,,,,
29805,瑭,d,ɑŋ,³³,,,,tʰ,ɑŋ,2,tʰ,ɔ:,ŋ,˩˨
29806,瑮,l,it̲̲,³,b,ə,r,l,i,4,l,ɵ,t,˨
29807,瑯,l,ɑŋ,³³,r,a,̠ŋ,l,ɑŋ,2,l,ɔ:,ŋ,˩˨
29808,瑰,ɦ,u̯oi,³³,k,u,̠l,k,,1,kw,ɐi,,˥
29809,瑱,d,en,³³,kh‧l,i,̠ns,ʈʂ,ən,4,tʰ,i:,n,˧
29810,瑲,tsʰ,ɑŋ,³³,sh,a,ŋ,tɕʰ,jɑŋ,1,tsʰ,œ:,ŋ,˥
29811,瑳,tsʰ,ɑ,³⁵,sh,a,̠lʔ,tsʰ,uɔ,1,tsʰ,ɔ:,,˥
29812,瑴,k,uk̲̲,³,kr,o,̠ɡ,tɕ,yɛ,2,,,,
29813,瑵,tʂɰæ,u,³⁵,sr,u,̠ʔ,ʈʂ,ɑʊ,3,ts,a:u,,˧˥
29814,瑶,j,iᴇu,³³,l,e,w,,jɑʊ,2,j,i:u,,˩˨
29815,瑷,,,,,,,,ai,4,ŋ,ɔ:i,,˧
29816,瑸,,,,,,,p,in,1,,,,
29817,瑹,tʰ,u̯o,³³,,,,ʂ,u,1,,,,
29818,瑺,dʑj,aŋ,³³,,,,ʈʂʰ,ɑŋ,2,,,,
29819,瑻,k,u̯on,³³,k,u,̠n,kʰ,,1,,,,
29820,瑼,tɕʷ,iᴇn,³³,,,,ʈʂ,wan,1,,,,
29821,瑽,tsʰj,ʊŋ,³³,,,,tsʰ,ʊŋ,1,tsʰ,ʊ,ŋ,˥
29822,瑾,ɡ,ɨn,³¹,ɡr,ɯ,ns,tɕ,in,3,k,ɐ,n,˧˥
29823,瑿,ʔ,ei,³³,,,,,i,1,j,i:,,˥
29824,璀,tsʰ,u̯oi,³⁵,skh,u,̠lʔ,tsʰ,,3,tsʰ,ɵy,,˥
29825,璁,tsʰ,uŋ,³³,skh,o,̠ŋ,tsʰ,ʊŋ,1,tsʰ,ʊ,ŋ,˥
29826,璂,ɡ,ɨ,³³,ɡ,ɯ,,tɕʰ,i,2,,,,
29827,璃,l,iᴇ,³³,b,ə,r,l,i,2,l,ei,,˩˨
29828,璄,ʔɰjæŋ,,³⁵,,,,tɕ,iŋ,3,,,,
29829,璅,sʷ,ɑ,³⁵,sk,a,̠wʔ,s,uɔ,3,s,ɔ:,,˧˥
29830,璆,kj,u,³³,ɡl,ɯ,w,tɕʰ,,2,kʰ,ɐu,,˩˨
29831,璇,zʷ,iᴇn,³³,sɢl,o,n,ɕ,yan,2,s,y:,n,˩˨
29832,璈,ŋ,ɑu,³³,,,,,ɑʊ,2,ŋ,ou,,˩˨
29833,璉,l,iᴇn,³⁵,b,ə,r,l,jɛn,3,l,i:,n,˩˨
29834,璊,m,u̯on,³³,m,ɯ,̠n,m,ən,2,m,u:,n,˩˨
29835,璋,tɕj,aŋ,³³,klj,a,ŋ,ʈʂ,ɑŋ,1,ts,œ:,ŋ,˥
29836,璌,j,in,³³,,,,,in,2,,,,
29837,璍,,,,,,,,je,4,,,,
29838,璎,,,,,,,,iŋ,1,j,ɪ,ŋ,˥
29839,璏,ɖ,iᴇi,³¹,ɢʷr,e,ds,,,4,,,,
29840,璐,l,u̯o,³¹,ɡ,ə,r,l,u,4,l,ou,,˨
29841,璑,mj,ʊ,³³,m,a,,,u,2,,,,
29842,璒,t,əŋ,³³,t,ɯ,̠ŋ,t,ɤŋ,1,,,,
29843,璓,j,ɨu,³⁵,sl,ɯ,ws,ɕ,,4,,,,
29844,璔,ts,əŋ,³³,,,,ts,ɤŋ,1,,,,
29845,璕,,,,,,,ɕ,yn,2,,,,
29846,璖,ɡj,ɤ,³³,,,,tɕʰ,y,2,,,,
29847,璗,d,ɑŋ,³⁵,ɡ‧l,a,̠ŋʔ,t,ɑŋ,4,t,ɔ:,ŋ,˨
29848,璘,,,,r,i,n,l,in,2,l,ɵ,n,˩˨
29849,璙,l,eu,³³,ɡ,ə,r,l,jɑʊ,2,,,,
29850,璚,ɡʷ,iᴇŋ,³³,ɡʷ,e,ŋ,tɕʰ,jʊŋ,2,k,ɪ,ŋ,˩˨
29851,璛,sj,uk̲̲,³,,,,s,u,4,,,,
29852,璜,ɦʷ,ɑŋ,³³,ɡʷ,a,̠ŋ,x,wɑŋ,2,w,ɔ:,ŋ,˩˨
29853,璝,ɦ,u̯oi,³³,,,,k,,1,,,,
29854,璞,pʰɰɔk̲̲,,³,phr,o,̠ɡ,pʰ,u,2,pʰ,ɔ:,k,˧
29855,璟,ʔɰjæŋ,,³⁵,kʷr,a,ŋʔ,tɕ,iŋ,3,k,ɪ,ŋ,˧˥
29856,璠,bʷj,ɤn,³³,b,a,n,f,an,2,f,a:,n,˩˨
29857,璡,ts,in,³¹,s,i,ns,tɕ,in,4,ts,ɵ,n,˧
29858,璢,,,,,,,l,,2,l,ɐu,,˩˨
29859,璣,ɡɰ,i,³¹,k,ɯ,l,tɕ,i,1,k,ei,,˥
29860,璤,,,,,,,x,,4,,,,
29861,璥,kɰjæŋ,,³⁵,k,e,ŋʔ,tɕ,iŋ,3,,,,
29862,璦,ʔ,əi,³¹,,,,,ai,4,ŋ,ɔ:i,,˧
29863,璧,p,iᴇk̲̲,³,p,e,ɡ,p,i,4,p,ɪ,k,˥
29864,璨,tsʰ,ɑn,³¹,sh,a,̠ns,tsʰ,an,4,tsʰ,a:,n,˧
29865,璩,ɡj,ɤ,³³,ɡl,a,,tɕʰ,y,2,kʰ,ɵy,,˩˨
29866,璪,ts,ɑu,³⁵,s,a,̠wʔ,ts,ɑʊ,3,ts,ou,,˧˥
29867,璫,t,ɑŋ,³³,k‧l,a,̠ŋ,t,ɑŋ,1,t,ɔ:,ŋ,˥
29868,璬,k,eu,³⁵,kl,e,̠wʔ,tɕ,jɑʊ,3,,,,
29869,璭,k,u̯on,³¹,k,u,̠ns,k,,4,,,,
29870,璮,,,,,,,tʰ,an,3,,,,
29871,璯,kʰʷɰæ,i,³¹,,,,x,,4,,,,
29872,環,ɦʷɰæn,,³¹,ɢʷr,e,̠n,x,wan,2,w,a:,n,˩˨
29873,璱,ʂ,ɪt̲̲,³,spr,i,ɡ,s,ɤ,4,s,ɐ,t,˥
29874,璲,zʷ,i,³¹,lj,u,ds,s,,4,s,ɵy,,˨
29875,璳,,,,,,,tʰ,jɛn,2,,,,
29876,璴,,,,,,,ʈʂʰ,u,3,,,,
29877,璵,j,ɤ,³³,ɢl,a,,,y,2,j,y:,,˩˨
29878,璶,z,in,³¹,lj,i,ns,tɕ,in,4,,,,
29879,璷,pʰj,ʊ,³³,,,,l,u,2,,,,
29880,璸,b,en,³³,pr,i,n,p,in,1,p,ɐ,n,˥
29881,璹,dʑj,uk̲̲,³,ɡlj,u,ʔ,ʂ,u,2,,,,
29882,璺,mj,un,³¹,m,ɯ,ns,,,4,m,ɐ,n,˨
29883,璻,tsʷ,i,³⁵,,,,ts,,3,,,,
29884,璼,l,ɑm,³³,,,,l,an,2,,,,
29885,璽,s,iᴇ,³⁵,sml,e,lʔ,ɕ,i,3,s,a:i,,˧˥
29886,璾,ts,i,³³,,,,ts,i,1,,,,
29887,璿,zʷ,iᴇn,³³,sɢʷ,o,n,ɕ,yan,2,s,y:,n,˩˨
29888,瓀,ȵʷ,iᴇn,³³,nj,o,nʔ,ʐ,wan,3,j,y:,n,˩˧
29889,瓁,ŋʷ,ɑk̲̲,³,ŋɡʷ,a,̠ɡ,,uɔ,4,w,ɔ:,k,˨
29890,瓂,k,ɑi,³¹,,,,k,ai,4,,,,
29891,瓃,lʷ,i,³³,r,u,ls,l,ei,2,,,,
29892,瓄,d,uk̲̲,³,,,,t,u,2,,,,
29893,瓅,l,ek̲̲,³,ɡ,ə,r,l,i,4,l,ɪ,k,˥
29894,瓆,tɕ,it̲̲,³,,,,ʈʂ,i,4,,,,
29895,瓇,,,,,,,ʐ,oʊ,2,,,,
29896,瓈,l,ei,³³,,,,l,i,2,l,ei,,˩˨
29897,瓉,dzʷ,ɑn,³⁵,,,,ts,an,4,,,,
29898,瓊,ɡʷ,iᴇŋ,³³,ɡʷ,e,ŋ,tɕʰ,jʊŋ,2,kʰ,ɪ,ŋ,˩˨
29899,瓋,,,,k‧r,e,̠ɡ,tʰ,i,4,,,,
29900,瓌,k,u̯oi,³³,k,u,̠l,k,,1,,,,
29901,瓍,zʷ,iᴇ,³³,,,,s,,2,,,,
29902,瓎,l,ɑt̲̲,³,,,,l,a,4,,,,
29903,瓏,l,uŋ,³³,ɡ,ə,r,l,ʊŋ,2,l,ʊ,ŋ,˩˨
29904,瓐,l,u̯o,³³,ɡ,ə,r,l,u,2,,,,
29905,瓑,,,,,,,l,i,4,,,,
29906,瓒,,,,,,,ts,an,4,ts,a:,n,˧
29907,瓓,,,,,,,l,an,4,,,,
29908,瓔,ʔɰ,ɛŋ,³³,,,,,iŋ,1,j,ɪ,ŋ,˥
29909,瓕,s,iᴇn,³⁵,,,,m,i,2,,,,
29910,瓖,sj,aŋ,³³,sl,a,ŋ,ɕ,jɑŋ,1,s,œ:,ŋ,˥
29911,瓗,ɡʷ,iᴇŋ,³³,ɢʷ,e,s,tɕʰ,jʊŋ,2,,,,
29912,瓘,kʷ,ɑn,³¹,k,o,̠ns,k,wan,4,k,u:,n,˧
29913,瓙,,,,,,,t,ɑʊ,4,,,,
29914,瓚,,,,z,a,̠nʔ,ts,an,4,ts,a:,n,˧
29915,瓛,hj,ɤn,³¹,,,,x,wan,2,w,u:,n,˩˨
29916,瓜,kʷɰæ,,³³,kʷr,a,̠,k,wa,1,kw,a:,,˥
29917,瓝,bɰɔk̲̲,,³,br,e,̠wɡ,p,uɔ,2,p,ɔ:,k,˧
29918,瓞,d,et̲̲,³,l,i,̠ɡ,t,je,2,t,i:,t,˨
29919,瓟,bɰæ,u,³³,br,u,̠ɡ,p,uɔ,2,p,ɔ:,k,˨
29920,瓠,ɦ,u̯o,³¹,ɡʷ,a,̠s,x,u,4,w,ɔ:,k,˨
29921,瓡,tɕ,ip̲̲,³,klj,i,b,ʈʂ,i,2,,,,
29922,瓢,b,iᴇu,³³,b,e,w,pʰ,jɑʊ,2,pʰ,i:u,,˩˨
29923,瓣,pʰ,en,³¹,br,e,̠ns,p,an,4,p,a:,n,˨
29924,瓤,ɳj,aŋ,³³,m‧l ,a,ŋ,ʐ,ɑŋ,2,n,ɔ:,ŋ,˩˨
29925,瓥,,,,,,,l,i,4,,,,
29926,瓦,ŋʷɰæ,,³⁵,ŋʷr,a,̠ls,,wa,3,ŋ,a:,,˩˧
29927,瓧,,,,,,,,,,,,,
29928,瓨,ɦɰɔŋ,,³³,kr,o,̠ŋ,ɕ,jɑŋ,2,k,ɔ:,ŋ,˥
29929,瓩,,,,,,,tɕʰ,jɛn,1,tsʰ,i:,n,˥
29930,瓪,pʷj,ɤn,³⁵,pr,a,̠nʔ,p,an,3,,,,
29931,瓫,b,u̯on,³³,,,,pʰ,ən,2,,,,
29932,瓬,pʷj,aŋ,³⁵,p,a,ŋʔ,f,ɑŋ,3,f,ɔ:,ŋ,˧˥
29933,瓭,ɖ,im,³³,k‧l,u,̠mʔ,t,an,3,,,,
29934,瓮,ʔ,uŋ,³¹,ql,o,̠ŋs,,,4,,ɔ:,ŋ,˧
29935,瓯,ʔ,u,³³,,,,,oʊ,1,,ɐu,,˥
29936,瓰,,,,,,,,,,,,,
29937,瓱,,,,,,,,,,,,,
29938,瓲,,,,,,,,wa,a,,,,
29939,瓳,ɦ,u̯o,³³,ɡ,a,̠,x,u,2,,,,
29940,瓴,l,eŋ,³³,ɡ,ə,r,l,iŋ,2,l,ɪ,ŋ,˩˨
29941,瓵,j,ɨ,³³,ɢl,ɯ,,,i,2,,,,
29942,瓶,b,eŋ,³³,b,e,̠ŋ,pʰ,iŋ,2,pʰ,ɛ:,ŋ,˩˨
29943,瓷,dz,i,³³,z,i,,tsʰ,i,2,tsʰ,i:,,˩˨
29944,瓸,,,,,,,p,ai,3,,,,
29945,瓹,kʷ,en,³¹,kʷ,e,̠ns,tɕ,yan,1,k,y:,n,˥
29946,瓺,ɖj,aŋ,³³,ɡ‧l,a,ŋ,ʈʂʰ,ɑŋ,2,,,,
29947,瓻,ʈʰ,i,³³,,,,ʈʂʰ,i,1,tsʰ,i:,,˥
29948,瓼,,,,,,,,,,,,,
29949,瓽,t,ɑŋ,³¹,k‧l,a,̠ŋs,t,ɑŋ,4,t,ɔ:,ŋ,˨
29950,瓾,,,,m,e,nʔ,m,ɤŋ,3,,,,
29951,瓿,b,u,³⁵,b,ɯ,,p,u,4,pʰ,ɐu,,˧˥
29952,甀,ɖʷ,i,³³,d,o,ls,ʈʂ,,4,ts,ɵy,,˨
29953,甁,,,,,,,pʰ,iŋ,2,,,,
29954,甂,p,en,³³,p,e,̠n,p,jɛn,1,p,i:,n,˥
29955,甃,tʂ,ɨu,³¹,sr,ɯ,ws,ʈʂ,oʊ,4,ts,ɐu,,˧
29956,甄,kʷ,iᴇn,³¹,kj,i,n,ʈʂ,ən,1,j,ɐ,n,˥
29957,甅,,,,,,,,,,,,,
29958,甆,,,,,,,tsʰ,i,2,,,,
29959,甇,ʔɰ,ɛŋ,³³,,,,,iŋ,1,,a:,ŋ,˥
29960,甈,kʰɰ,iᴇi,³¹,ŋ,e,̠ds,tɕʰ,i,4,h,ei,,˧
29961,甉,tʂʰɰæm,,³¹,,,,ɕ,jɛn,2,,,,
29962,甊,l,u,³⁵,ɡ,ə,r,l,oʊ,3,,,,
29963,甋,t,ek̲̲,³,k‧l,e,̠ɡ,t,i,4,t,ɪ,k,˥
29964,甌,ʔ,u,³³,q,o,̠,,oʊ,1,,ɐu,,˥
29965,甍,m,iᴇŋ,³³,mr,ɯ,̠ŋ,m,ɤŋ,2,m,ɐ,ŋ,˩˨
29966,甎,tɕʷ,iᴇn,³³,,,,ʈʂ,wan,1,ts,y:,n,˥
29967,甏,,,,,,,p,ɤŋ,4,p,ɔ:,ŋ,˧
29968,甐,l,in,³¹,r,i,ns,l,in,4,l,ɵ,n,˩˨
29969,甑,ts,ɨŋ,³¹,s,ɯ,ŋs,ts,ɤŋ,4,ts,ɐ,ŋ,˨
29970,甒,mj,ʊ,³⁵,m,a,ʔ,,u,3,m,ou,,˩˧
29971,甓,pɰ,ɛk̲̲,³,b,e,̠ɡ,pʰ,i,4,pʰ,ɪ,k,˥
29972,甔,t,ɑm,³³,k‧l,a,̠m,t,an,1,t,a:,m,˥
29973,甕,ʔ,uŋ,³¹,q,o,̠ŋs,,,4,,ɔ:,ŋ,˧
29974,甖,ʔ,iᴇŋ,³¹,qr,e,̠ŋ,,iŋ,1,,a:,ŋ,˥
29975,甗,ŋɰ,iᴇn,³¹,ŋr,a,nʔ,,jɛn,3,j,i:,n,˩˧
29976,甘,ɦ,ɑm,³³,k,a,̠m,k,an,1,k,ɐ,m,˥
29977,甙,d,əi,³¹,,,,t,ai,4,,,,
29978,甚,ʑ,im,³⁵,ɡlj,u,ms,ʂ,ən,4,s,ɐ,m,˨
29979,甛,,,,,,,tʰ,jɛn,2,,,,
29980,甜,d,em,³³,l,i,̠m,tʰ,jɛn,2,tʰ,i:,m,˩˨
29981,甝,ɦ,ɑm,³³,ɡ,a,̠m,x,an,2,h,ɔ:,n,˩˨
29982,甞,dʑj,aŋ,³³,ɡlj,a,ŋ,ʈʂʰ,ɑŋ,2,s,œ:,ŋ,˩˨
29983,生,ʂɰjæŋ,,³¹,sr,e,ŋ,ʂ,ɤŋ,1,s,a:,ŋ,˥
29984,甠,,,,,,,tɕʰ,iŋ,2,,,,
29985,甡,ʂ,ɪn,³³,sr,i,n,ʂ,ən,1,s,ɐ,n,˥
29986,產,,,,sŋr,e,̠nʔ,ʈʂʰ,an,3,tsʰ,a:,n,˧˥
29987,産,ʂɰæn,,³¹,sŋr,e,̠nʔ,ʈʂʰ,an,3,,,,
29988,甤,ȵʷ,i,³³,nj,o,lʔ,ʐ,,2,,,,
29989,甥,ʂɰæŋ,,³³,sr,e,ŋ,ʂ,ɤŋ,1,s,a:,ŋ,˥
29990,甦,,,,,,,s,u,1,s,ou,,˥
29991,甧,,,,,,,ʂ,ən,1,,,,
29992,用,j,ʊŋ,³¹,l,o,ŋs,,jʊŋ,4,j,ʊ,ŋ,˨
29993,甩,,,,,,,ʂ,wai,3,l,ɐ,t,˥
29994,甪,,,,kr,o,̠ɡ,l,u,4,l,ʊ,k,˨
29995,甫,pj,ʊ,³⁵,p,a,ʔ,f,u,3,f,u:,,˧˥
29996,甬,d,uŋ,³⁵,l,o,ŋʔ,,jʊŋ,3,j,ʊ,ŋ,˧˥
29997,甭,,,,,,,p,ɤŋ,2,p,ɐ,ŋ,˧˥
29998,甮,,,,,,,f,ɤŋ,4,f,ʊ,ŋ,˨
29999,甯,n,eŋ,³¹,n,e,̠ŋs,n,iŋ,2,n,ɪ,ŋ,˩˨
30000,田,d,in,³³,l,i,̠ŋ,tʰ,jɛn,2,tʰ,i:,n,˩˨
30001,由,j,ɨu,³³,l,ɯ,w,,,2,j,ɐu,,˩˨
30002,甲,kɰæp̲̲,,³,kr,a,̠b,tɕ,ja,3,k,a:,p,˧
30003,申,,,,l̥,i,n,ʂ,ən,1,s,ɐ,n,˥
30004,甴,,,,,,,ʈʂ,a,2,k,a:,t,˨
30005,电,d,en,³¹,,,,t,jɛn,4,t,i:,n,˨
30006,甶,pʷ,ɨi,³¹,p,ɯ,d,f,u,2,,,,
30007,男,n,əm,³³,n,o,̠m,n,an,2,n,a:,m,˩˨
30008,甸,d,en,³¹,l,i,̠ŋs,t,jɛn,1,t,i:,n,˥
30009,甹,pʰ,eŋ,³³,phl,e,̠ŋ,pʰ,iŋ,1,pʰ,ɪ,ŋ,˥
30010,町,t,eŋ,³⁵,th,e,̠nʔ,tʰ,iŋ,1,tʰ,ɪ,ŋ,˧˥
30011,画,ɦʷɰ,ɛ,³¹,,,,x,wa,4,w,a:,k,˨
30012,甼,,,,,,,tʰ,iŋ,3,,,,
30013,甽,zʷ,in,³³,klj,u,ns,ʈʂ,ən,4,h,y:,n,˧˥
30014,甾,tʂ,ɨ,³³,sr,ɯ,,ts,ai,1,ts,i:,,˥
30015,甿,m,əŋ,³¹,mr,a,̠ŋ,m,ɤŋ,2,m,ɐ,n,˩˨
30016,畀,p,i,³¹,p,i,ds,p,i,4,p,ei,,˧˥
30017,畁,k,ɨ,³³,ɡ,ɯ,s,p,i,4,,,,
30018,畂,l,ɨu,³¹,,,,l,,4,,,,
30019,畃,,,,,,,ɕ,yn,2,,,,
30020,畄,,,,,,,l,,2,,,,
30021,畅,ʈʰj,aŋ,³¹,,,,ʈʂʰ,ɑŋ,4,tsʰ,œ:,ŋ,˧
30022,畆,,,,,,,m,u,3,,,,
30023,畇,d,en,³³,sɢʷ,i,n,,yn,2,w,ɐ,n,˩˨
30024,畈,pʷj,ɤn,³¹,p,a,ns,f,an,4,f,a:,n,˧
30025,畉,,,,,,,f,u,2,,,,
30026,畊,kɰ,ɛŋ,³³,,,,k,ɤŋ,1,k,a:,ŋ,˥
30027,畋,d,en,³³,l,i,̠ŋs,tʰ,jɛn,2,tʰ,i:,n,˩˨
30028,界,kɰ,ɛi,³¹,kr,e,̠ds,tɕ,je,4,k,a:i,,˧
30029,畍,kɰ,ɛi,³¹,kr,e,̠ds,tɕ,je,4,,,,
30030,畎,kʷ,en,³⁵,kʷ,i,̠nʔ,tɕʰ,yan,3,h,y:,n,˧˥
30031,畏,ʔʷ,ɨi,³¹,q,u,ls,,,4,w,ɐi,,˧
30032,畐,pʰ,ɨk̲̲,³,b,ɯ,ɡ,f,u,2,,,,
30033,畑,,,,,,,tʰ,jɛn,2,,,,
30034,畒,,,,m,ɯ,ʔ,m,u,3,,,,
30035,畓,,,,,,,t,uɔ,1,,,,
30036,畔,bʷ,ɑn,³¹,b,a,̠ns,pʰ,an,4,p,u:,n,˨
30037,畕,kj,aŋ,³³,k,a,ŋ,tɕ,jɑŋ,1,,,,
30038,畖,ʔʷɰæ,,³³,,,,,wa,1,,,,
30039,畗,bj,uk̲̲,³,b,ɯ,ɡ,t,a,2,,,,
30040,畘,,,,,,,n,an,2,,,,
30041,留,l,ɨu,³³,b,ə,r,l,,2,l,ɐu,,˩˨
30042,畚,p,u̯on,³⁵,p,u,̠nʔ,p,ən,3,p,u:,n,˧˥
30043,畛,tɕ,in,³⁵,klj,ɯ,n,ʈʂ,ən,3,ts,ɐ,n,˧˥
30044,畜,h,ɨu,³¹,kh‧l,u,ɡ,ʈʂʰ,u,4,tsʰ,ʊ,k,˥
30045,畝,,,,m,ɯ,ʔ,m,u,3,m,ɐu,,˩˧
30046,畞,m,u,³⁵,m,ɯ,ʔ,m,u,3,,,,
30047,畟,tʂʰ,ɨk̲̲,³,sk,ɯ,ɡ,tsʰ,ɤ,4,tsʰ,ɐ,k,˥
30048,畠,,,,,,,tʰ,jɛn,2,,,,
30049,畡,k,əi,³³,k,ɯ,̠,k,ai,1,,,,
