codepoint,char,mid_initial,mid_final,mid_tone,old_initial,old_nucleus,old_coda,man_initial,man_final,man_tone,can_onset,can_nucleus,can_coda,can_tone
30295,癗,l,u̯oi,³⁵,r,u,̠lʔ,l,ei,3,l,ɵy,,˩˧
30296,癘,l,ɑi,³¹,b,ə,r,l,i,4,l,ɐi,,˨
30297,癙,ɕj,ɤ,³¹,l̥,a,ʔ,ʂ,u,3,s,y:,,˧˥
30298,癚,t,ɑm,³¹,,,,t,an,4,,,,
30299,癛,l,im,³⁵,b,ə,r,l,in,3,,,,
30300,癜,,,,,,,t,jɛn,4,t,i:,n,˨
30301,癝,pɰ,im,³⁵,,,,l,in,3,,,,
30302,癞,l,ɑi,³¹,,,,l,ai,4,l,a:i,,˧
30303,癟,pʰ,iᴇt̲̲,³,,,,p,je,3,p,i:,t,˨
30304,癠,dz,ei,³³,z,i,̠lʔ,tɕ,i,4,ts,ɐi,,˧
30305,癡,ʈʰ,iᴇ,³³,kh‧l,ɯ,,ʈʂʰ,i,1,tsʰ,i:,,˥
30306,癢,j,aŋ,³⁵,l,a,ŋʔ,,jɑŋ,3,j,œ:,ŋ,˩˧
30307,癣,s,iᴇn,³⁵,,,,ɕ,yan,3,s,i:,n,˧˥
30308,癤,ts,et̲̲,³,,,,tɕ,je,1,ts,i:,t,˧
30309,癥,ʈ,ɨŋ,³³,t,ɯ,ŋ,ʈʂ,ɤŋ,1,ts,ɪ,ŋ,˥
30310,癦,,,,,,,m,ɤ,e,m,ɐ,k,˨
30311,癧,l,ek̲̲,³,r,e,̠ɡ,l,i,4,l,ɛ:,k,˨
30312,癨,hʷ,ɑk̲̲,³,,,,x,uɔ,4,,,,
30313,癩,l,ɑi,³¹,b,ə,r,l,ai,4,l,a:i,,˧
30314,癪,,,,,,,tɕ,i,1,ts,ɪ,k,˥
30315,癫,t,en,³³,,,,t,jɛn,1,t,i:,n,˥
30316,癬,s,iᴇn,³³,sl,e,nʔ,ɕ,yan,3,s,i:,n,˧˥
30317,癭,ʔ,iᴇŋ,³⁵,q,e,ŋʔ,,iŋ,3,j,ɪ,ŋ,˧˥
30318,癮,ʔ,ɨn,³⁵,,,,,in,3,j,ɐ,n,˩˧
30319,癯,ɡj,ʊ,³³,ɡʷ,a,,tɕʰ,y,2,kʰ,ɵy,,˩˨
30320,癰,ʔj,ʊŋ,³³,q,o,ŋ,,jʊŋ,1,j,ʊ,ŋ,˥
30321,癱,,,,,,,tʰ,an,1,tʰ,a:,n,˥
30322,癲,t,en,³³,k‧l,i,̠n,t,jɛn,1,t,i:,n,˥
30323,癳,,,,,,,l,uɔ,3,,,,
30324,癴,,,,,,,l,wan,2,,,,
