codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
20215,价,kɰɛi³¹,kɰ,ɛi,³¹,kr,e,̠ds
20216,仸,ʔɰiᴇu³⁵,ʔɰ,iᴇu,³⁵,,,
20217,仹,pʰjʊŋ³³,pʰj,ʊŋ,³³,,,
20218,仺,tsʰɑŋ³³,tsʰ,ɑŋ,³³,,,
20219,任,ȵim³³,ȵ,im,³³,mblj,u,m
20220,仼,,,,,,,
20221,份,pʰjun³³,pʰj,un,³³,b,ɯ,ns
20222,仾,,,,,,,
20223,仿,pʰʷjaŋ³⁵,pʰʷj,aŋ,³⁵,ph,a,ŋʔ
20224,伀,tɕjʊŋ³³,tɕj,ʊŋ,³³,klj,o,ŋ
20225,企,kʰʷiᴇ³⁵,kʰʷ,iᴇ,³⁵,kh,e,s
20226,伂,pɑi³¹,p,ɑi,³¹,,,
20227,伃,jɤ³⁵,j,ɤ,³⁵,ɢl,a,
20228,伄,teu³¹,t,eu,³¹,,,
20229,伅,du̯on³⁵,d,u̯on,³⁵,,,
20230,伆,mjun³⁵,mj,un,³⁵,m,ɯ,nʔ
20231,伇,jiᴇk³̲³̲,j,iᴇk̲̲,³,ɢʷ,e,ɡ
20232,伈,tsʰim³¹,tsʰ,im,³¹,,,
20233,伉,ɦɑŋ³⁵,ɦ,ɑŋ,³⁵,kh,a,̠ŋs
20234,伊,ʔi³³,ʔ,i,³³,q,i,l
20235,伋,ɡip³̲³̲,ɡ,ip̲̲,³,kr,ɯ,b
20236,伌,ʔɰɛ³¹,ʔɰ,ɛ,³¹,,,
20237,伍,ŋu̯o³⁵,ŋ,u̯o,³⁵,s,ə,ŋ
20238,伎,tɕiᴇ³¹,tɕ,iᴇ,³¹,kj,e,s
20239,伏,bɨu³¹,b,ɨu,³¹,b,ɯ,ɡs
20240,伐,bʷjɤt³̲³̲,bʷj,ɤt̲̲,³,b,a,d
20241,休,hjʊ³⁵,hj,ʊ,³⁵,qh,u,
20242,伒,kɨn³¹,k,ɨn,³¹,,,
20243,伓,bɰi³³,bɰ,i,³³,,,
20244,伔,,,,,,,
20245,伕,,,,,,,
20246,伖,,,,,,,
20247,众,tɕjuŋ³¹,tɕj,uŋ,³¹,,,
20248,优,ʔɨu³³,ʔ,ɨu,³³,,,
20249,伙,,,,,,,
20250,会,ɦʷɑi³¹,ɦʷ,ɑi,³¹,,,
20251,伛,,,,,,,
20252,伜,,,,,,,
20253,伝,,,,,,,
20254,伞,sɑn³⁵,s,ɑn,³⁵,,,
20255,伟,ɦʲʷɨi³⁵,ɦʲʷ,ɨi,³⁵,,,
20256,传,ɖʷiᴇn³³,ɖʷ,iᴇn,³³,,,
20257,伡,,,,,,,
20258,伢,,,,,,,
20259,伣,,,,,,,
20260,伤,ɕjaŋ³³,ɕj,aŋ,³³,,,
20261,伥,,,,,,,
20262,伦,lʷin³³,lʷ,in,³³,,,
20263,伧,dʐɰæŋ³³,dʐɰæŋ,,³³,,,
20264,伨,zʷin³³,zʷ,in,³³,,,
20265,伩,,,,,,,
20266,伪,ŋʷɰiᴇ³¹,ŋʷɰ,iᴇ,³¹,,,
20267,伫,ɖjɤ³⁵,ɖj,ɤ,³⁵,,,
20268,伬,,,,,,,
20269,伭,ɦen³³,ɦ,en,³³,ɡ,i,̠n
20270,伮,nu̯o³³,n,u̯o,³³,,,
20271,伯,pɰæk³̲³̲,pɰæk̲̲,,³,pr,a,̠ɡ
20272,估,ku̯o³⁵,k,u̯o,³⁵,k,a,̠ʔ
